exam|choice
"Refer to the exhibit. A network administrator is connecting a new host to the Medical LAN. The host needs to communicate with remote networks. What IP address would be configured as the default gateway on the new host?<prompt>BldgA(config)# interface gi0/1</br>BldgA(config-if)# description Connects to the Medical LAN</br>BldgA(config-if)# ip address 192.168.201.200 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface gi0/0</br>BldgA(config-if)# description Connects to the Client LAN</br>BldgA(config-if)# ip address 192.168.200.80 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface s0/0/0</br>BldgA(config-if)# description Connects to the ISP</br>BldgA(config-if)# ip address 10.200.201.254 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# interface s0/0/1</br>BldgA(config-if)# description Connects to the Head Office WAN</br>BldgA(config-if)# ip address 203.0.113.222 255.255.255.0</br>BldgA(config-if)# no shutdown</br>BldgA(config-if)# end</prompt>"|"192.168.201.200"
"What is the prefix length notation for the subnet mask 255.255.255.224?"|"/27"
"How many valid host addresses are available on an IPv4 subnet that is configured with a /26 mask?"|"62"
"Which subnet mask would be used if 5 host bits are available?"|"255.255.255.224"
"A network administrator subnets the 192.168.10.0/24 network into subnets with /26 masks. How many equal-sized subnets are created?"|"4"
"An administrator wants to create four subnetworks from the network address 192.168.1.0/24. What is the network address and subnet mask of the second useable subnet?"|"subnetwork 192.168.1.64 subnet mask 255.255.255.192"
"How many bits must be borrowed from the host portion of an address to accommodate a router with five connected networks?"|"three"
"How many host addresses are available on the 192.168.10.128/26 network?"|"62"
"How many host addresses are available on the network 172.16.128.0 with a subnet mask of 255.255.252.0?"|"1022"
"What three blocks of addresses are defined by RFC 1918 for private network use? (Choose three.)"|"10.0.0.0/8","172.16.0.0/12","192.168.0.0/16"
"A site administrator has been told that a particular network at the site must accommodate 126 hosts. Which subnet mask would be used that contains the required number of host bits?"|"255.255.255.128"
"What is the usable number of host IP addresses on a network that has a /26 mask?"|"62"
"Which address prefix range is reserved for IPv4 multicast?"|"224.0.0.0 – 239.255.255.255"
"A high school in New York (school A) is using videoconferencing technology to establish student interactions with another high school (school B) in Russia. The videoconferencing is conducted between two end devices through the Internet. The network administrator of school A configures the end device with the IP address 209.165.201.10. The administrator sends a request for the IP address for the end device in school B and the response is 192.168.25.10. Neither school is using a VPN. The administrator knows immediately that this IP will not work. Why?"|"This is a private IP address."
"Which three addresses are valid public addresses? (Choose three.)"|"198.133.219.17","128.107.12.117","64.104.78.227"
"A message is sent to all hosts on a remote network. Which type of message is it?"|"directed broadcast"
"A company has a network address of 192.168.1.64 with a subnet mask of 255.255.255.192. The company wants to create two subnetworks that would contain 10 hosts and 18 hosts respectively. Which two networks would achieve that? (Choose two.)"|"192.168.1.64/27","192.168.1.96/28"
"Which address is a valid IPv6 link-local unicast address?"|"FE80::1:4545:6578:ABC1"
"Which of these addresses is the shortest abbreviation for the IP address: 3FFE:1044:0000:0000:00AB:0000:0000:0057?"|"3FFE:1044:0:0:AB::57"
"A network administrator has received the IPv6 prefix 2001:DB8::/48 for subnetting. Assuming the administrator does not subnet into the interface ID portion of the address space, how many subnets can the administrator create from the /48 prefix?"|"65536"
"Given IPv6 address prefix 2001:db8::/48, what will be the last subnet that is created if the subnet prefix is changed to /52?"|"2001:db8:0:f000::/52"
"What type of IPv6 address is FE80::1?"|"link-local"
"What is used in the EUI-64 process to create an IPv6 interface ID on an IPv6 enabled interface?"|"the MAC address of the IPv6 enabled interface"
"What is the prefix for the host address 2001:DB8:BC15:A:12AB::1/64?"|"2001:DB8:BC15:A"
"An IPv6 enabled device sends a data packet with the destination address of FF02::1. What is the target of this packet?"|"all IPv6 enabled devices on the local link or network"
"Which IPv6 prefix is reserved for communication between devices on the same link?"|"FE80::/10"
"Which type of IPv6 address refers to any unicast address that is assigned to multiple hosts?"|"anycast"
"What are two types of IPv6 unicast addresses? (Choose two.)"|"loopback","link-local"
"Which service provides dynamic global IPv6 addressing to end devices without using a server that keeps a record of available IPv6 addresses?"|"SLAAC"
"Which protocol supports Stateless Address Autoconfiguration (SLAAC) for dynamic assignment of IPv6 addresses to a host?"|"ICMPv6"
"A technician uses the ping 127.0.0.1 command. What is the technician testing?"|"the TCP/IP stack on a network host"
"Which protocol is used by the traceroute command to send and receive echo-requests and echo-replies?"|"ICMP"
"Which ICMPv6 message is sent when the IPv6 hop limit field of a packet is decremented to zero and the packet cannot be forwarded?"|"time exceeded"
"A user executes a traceroute over IPv6. At what point would a router in the path to the destination device drop the packet?"|"when the value of the Hop Limit field reaches zero"
"What is the purpose of ICMP messages?"|"to provide feedback of IP packet transmissions"
"What source IP address does a router use by default when the traceroute command is issued?"|"the IP address of the outbound interface"
"A user issues a ping 192.135.250.103 command and receives a response that includes a code of 1. What does this code represent?"|"host unreachable"
"Which subnet would include the address 192.168.1.96 as a usable host address?"|"192.168.1.64/26"
"A host is transmitting a broadcast. Which host or hosts will receive it?"|"all hosts in the same subnet"
"A host is transmitting a unicast. Which host or hosts will receive it?"|"one specific host"
"A user issues a ping 2001:db8:FACE:39::10 command and receives a response that includes a code of 3. What does this code represent?"|"address unreachable"
"A host is transmitting a multicast. Which host or hosts will receive it?"|"a specially defined group of hosts"
"A host is transmitting a multicast. Which host or hosts will receive it?"|"a specially defined group of hosts"
"A host is transmitting a multicast. Which host or hosts will receive it?"|"a specially defined group of hosts"
"A host is transmitting a multicast. Which host or hosts will receive it?"|"a specially defined group of hosts"
"A host is transmitting a multicast. Which host or hosts will receive it?"|"a specially defined group of hosts"
"A host is transmitting a broadcast. Which host or hosts will receive it?"|"all hosts in the same subnet"
"A host is transmitting a broadcast. Which host or hosts will receive it?"|"all hosts in the same subnet"
"Which is the compressed format of the IPv6 address 2001:0db8:0000:0000:0000:a0b0:0008:0001?"|"2001:db8::a0b0:8:1"
"Which is the compressed format of the IPv6 address fe80:09ea:0000:2200:0000:0000:0fe0:0290?"|"fe80:9ea:0:2200::fe0:290"
"Which is the compressed format of the IPv6 address 2002:0042:0010:c400:0000:0000:0000:0909?"|"2002:42:10:c400::909"
"Which is the compressed format of the IPv6 address 2001:0db8:0000:0000:0ab8:0001:0000:1000?"|"2001:db8::ab8:1:0:1000"
"Which is the compressed format of the IPv6 address 2002:0420:00c4:1008:0025:0190:0000:0990?"|"2002:420:c4:1008:25:190::990"
"Which is the compressed format of the IPv6 address 2001:0db8:0000:0000:0000:a0b0:0008:0001?"|"2001:db8::a0b0:8:1"
"Which is the compressed format of the IPv6 address fe80:0000:0000:0000:0220:0b3f:f0e0:0029?"|"fe80::220:b3f:f0e0:29"
"Which is the compressed format of the IPv6 address 2001:0db8:0000:0000:0000:a0b0:0008:0001?"|"2001:db8::a0b0:8:1"
"Which is the compressed format of the IPv6 address 2002:0042:0010:c400:0000:0000:0000:0909?"|"2002:42:10:c400::909"
"Which is the compressed format of the IPv6 address fe80:09ea:0000:2200:0000:0000:0fe0:0290?"|"fe80:9ea:0:2200::fe0:290"
"A user issues a ping 2001:db8:FACE:39::10 command and receives a response that includes a code of 2 . What does this code represent?"|"beyond scope of the source address"
"A user issues a ping 192.135.250.103 command and receives a response that includes a code of 1. What does this code represent?"|"host unreachable"
"A user issues a ping fe80:65ab:dcc1::100 command and receives a response that includes a code of 3. What does this code represent?"|"address unreachable"
"A user issues a ping 10.10.14.67 command and receives a response that includes a code of 0. What does this code represent?"|"network unreachable"
"A user issues a ping fe80:65ab:dcc1::100 command and receives a response that includes a code of 4. What does this code represent?"|"port unreachable"
"A user issues a ping 198.133.219.8 command and receives a response that includes a code of 0. What does this code represent?"|"network unreachable"
"A user issues a ping 2001:db8:3040:114::88 command and receives a response that includes a code of 4. What does this code represent?"|"port unreachable"
"A user issues a ping 2001:db8:FACE:39::10 command and receives a response that includes a code of 2. What does this code represent?"|"beyond scope of the source address"
"Which action is performed by a client when establishing communication with a server via the use of UDP at the transport layer?"|"The client randomly selects a source port number."
"Which transport layer feature is used to guarantee session establishment?"|"TCP 3-way handshake"
"What is the complete range of TCP and UDP well-known ports?"|"0 to 1023"
"What is a socket?"|"the combination of a source IP address and port number or a destination IP address and port number"
"A PC is downloading a large file from a server. The TCP window is 1000 bytes. The server is sending the file using 100-byte segments. How many segments will the server send before it requires an acknowledgment from the PC?"|"10 segment"
"Which factor determines TCP window size?"|"the amount of data the destination can process at one time"
"What does a client do when it has UDP datagrams to send?"|"It just sends the datagrams."
"Which three fields are used in a UDP segment header? (Choose three.)"|"Length","Source Port","Checksum"
"What are two roles of the transport layer in data communication on a network? (Choose two.)"|"identifying the proper application for each communication stream","tracking the individual communication between applications on the source and destination hosts"
"What information is used by TCP to reassemble and reorder received segments?"|"sequence numbers"
"What important information is added to the TCP/IP transport layer header to ensure communication and connectivity with a remote network device?"|"destination and source port numbers"
"Which two characteristics are associated with UDP sessions? (Choose two.)"|"Destination devices receive traffic with minimal delay.","Received data is unacknowledged."
"Which flag in the TCP header is used in response to a received FIN in order to terminate connectivity between two network devices?"|"ACK"
"Which protocol or service uses UDP for a client-to-server communication and TCP for server-to-server communication?"|"DNS"
"What is a characteristic of UDP?"|"UDP reassembles the received datagrams in the order they were received."
"What kind of port must be requested from IANA in order to be used with a specific application?"|"registered port"
"Which three application layer protocols use TCP? (Choose three.)"|"SMTP","FTP","HTTP"
"Which three statements characterize UDP? (Choose three.)"|"UDP provides basic connectionless transport layer functions.","UDP relies on application layer protocols for error detection.","UDP is a low overhead protocol that does not provide sequencing or flow control mechanisms."
"Which two fields are included in the TCP header but not in the UDP header? (Choose two.)"|"window","sequence number"
"Which field in the TCP header indicates the status of the three-way handshake process?"|"control bits"
"Why does HTTP use TCP as the transport layer protocol?"|"because HTTP requires reliable delivery"
"Which two types of applications are best suited for UDP? (Choose two.)"|"applications that handle reliability themselves","applications that can tolerate some data loss, but require little or no delay"
"How are port numbers used in the TCP/IP encapsulation process?"|"If multiple conversations occur that are using the same service, the source port number is used to track the separate conversations."
"In what two situations would UDP be better than TCP as the preferred transport protocol? (Choose two.)"|"when a faster delivery mechanism is needed","when applications do not need to guarantee delivery of the data"
"What are three responsibilities of the transport layer? (Choose three.)"|"meeting the reliability requirements of applications, if any","multiplexing multiple communication streams from many users or applications on the same network","identifying the applications and services on the client and server that should handle transmitted data"
"Which three statements describe a DHCP Discover message? (Choose three.)"|"The destination IP address is 255.255.255.255.","The message comes from a client seeking an IP address.","All hosts receive the message, but only a DHCP server replies."
"Which two protocols may devices use in the application process that sends email? (Choose two.)"|"SMTP","DNS"
"What is true about the Server Message Block protocol?"|"Clients establish a long term connection to servers."
"What is the function of the HTTP GET message?"|"to request an HTML page from a web server"
"Which OSI layer provides the interface between the applications used to communicate and the underlying network over which messages are transmitted?"|"application"
"Which networking model is being used when an author uploads one chapter document to a file server of a book publisher?"|"client/server"
"What do the client/server and peer-to-peer network models have in common?"|"Both models support devices in server and client roles."
"In what networking model would eDonkey, eMule, BitTorrent, Bitcoin, and LionShare be used?"|"peer-to-peer"
"What is a common protocol that is used with peer-to-peer applications such as WireShare, Bearshare, and Shareaza?"|"Gnutella"
"What is a key characteristic of the peer-to-peer networking model?"|"resource sharing without a dedicated server"
"The application layer of the TCP/IP model performs the functions of what three layers of the OSI model? (Choose three.)"|"session","presentation","application"
"What is an example of network communication that uses the client-server model?"|"A workstation initiates a DNS request when the user types www.cisco.com in the address bar of a web browser."
"Which layer in the TCP/IP model is used for formatting, compressing, and encrypting data?"|"application"
"What is an advantage of SMB over FTP?"|"SMB clients can establish a long-term connection to the server."
"A manufacturing company subscribes to certain hosted services from its ISP. The services that are required include hosted world wide web, file transfer, and e-mail. Which protocols represent these three key applications? (Choose three.)"|"FTP","HTTP","SMTP"
"Which application layer protocol uses message types such as GET, PUT, and POST?"|"HTTP"
"What type of information is contained in a DNS MX record?"|"the domain name mapped to mail exchange servers"
"Which three protocols operate at the application layer of the TCP/IP model? (Choose three.)"|"FTP","POP3","DHCP"
"Which protocol is used by a client to communicate securely with a web server?"|"HTTPS"
"Which applications or services allow hosts to act as client and server at the same time?"|"P2P applications"
"What are two characteristics of peer-to-peer networks? (Choose two.)"|"decentralized resources","resource sharing without a dedicated server"
"Which scenario describes a function provided by the transport layer?"|"A student has two web browser windows open in order to access two web sites. The transport layer ensures the correct web page is delivered to the correct browser window."
"Which three layers of the OSI model provide similar network services to those provided by the application layer of the TCP/IP model? (Choose three.)"|"session layer","application layer","presentation layer"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received two packets of data from the PC?"|"3001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received three packets of data from the PC?"|"4501"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received four packets of data from the PC?"|"6001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received four packets of data from the PC?"|"6001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received two packets of data from the PC?"|"3001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received two packets of data from the PC?"|"3001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received two packets of data from the PC?"|"3001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received two packets of data from the PC?"|"3001"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received three packets of data from the PC?"|"4501"
"A PC that is communicating with a web server has a TCP window size of 6,000 bytes when sending data and a packet size of 1,500 bytes. Which byte of information will the web server acknowledge after it has received three packets of data from the PC?"|"4501"
"A client creates a packet to send to a server. The client is requesting TFTP service. What number will be used as the destination port number in the sending packet?"|"69"
"A client creates a packet to send to a server. The client is requesting FTP service. What number will be used as the destination port number in the sending packet?"|"21"
"A client creates a packet to send to a server. The client is requesting SSH service. What number will be used as the destination port number in the sending packet?"|"22"
"A client creates a packet to send to a server. The client is requesting HTTP service. What number will be used as the destination port number in the sending packet?"|"80"
"A client creates a packet to send to a server. The client is requesting POP3 service. What number will be used as the destination port number in the sending packet?"|"110"
"A client creates a packet to send to a server. The client is requesting telnet service. What number will be used as the destination port number in the sending packet?"|"23"
"A client creates a packet to send to a server. The client is requesting POP3 service. What number will be used as the destination port number in the sending packet?"|"110"
"A client creates a packet to send to a server. The client is requesting SNMP service. What number will be used as the destination port number in the sending packet?"|"161"
"A client creates a packet to send to a server. The client is requesting SMTP service. What number will be used as the destination port number in the sending packet?"|"25"
"A client creates a packet to send to a server. The client is requesting HTTPS service. What number will be used as the destination port number in the sending packet?"|"443"
"Which component is designed to protect against unauthorized communications to and from a computer?"|"firewall"
"Which command will block login attempts on RouterA for a period of 30 seconds if there are 2 failed login attempts within 10 seconds?"|"RouterA(config)# login block-for 30 attempts 2 within 10"
"What is the purpose of the network security accounting function?"|"to keep track of the actions of a user"
"What type of attack may involve the use of tools such as nslookup and fping?"|"reconnaissance attack"
"Which example of malicious code would be classified as a Trojan horse?"|"malware that was written to look like a video game"
"What is the difference between a virus and a worm?"|"Worms self-replicate but viruses do not."
"Which attack involves a compromise of data that occurs between two end points?"|"man-in-the-middle attack"
"Which type of attack involves an adversary attempting to gather information about a network to identify vulnerabilities?"|"reconnaissance"
"What is the purpose of the network security authentication function?"|"to require users to prove who they are"
"Which firewall feature is used to ensure that packets coming into a network are legitimate responses to requests initiated from internal hosts?"|"stateful packet inspection"
"When applied to a router, which command would help mitigate brute-force password attacks against the router?"|"login block-for 60 attempts 5 within 60"
"What feature of SSH makes it more secure than Telnet for a device management connection?"|"login information and data encryption"
"What is the advantage of using SSH over Telnet?"|"SSH provides secure communications to access hosts."
"What is the role of an IPS?"|"detecting and blocking of attacks in real time"
"A user is redesigning a network for a small company and wants to ensure security at a reasonable price. The user deploys a new application-aware firewall with intrusion detection capabilities on the ISP connection. The user installs a second firewall to separate the company network from the public network. Additionally, the user installs an IPS on the internal network of the company. What approach is the user implementing?"|"layered"
"What is an accurate description of redundancy?"|"designing a network to use multiple paths between switches to ensure there is no single point of failure"
"A network administrator is upgrading a small business network to give high priority to real-time applications traffic. What two types of network services is the network administrator trying to accommodate? (Choose two.)"|"voice","video"
"What is the purpose of a small company using a protocol analyzer utility to capture network traffic on the network segments where the company is considering a network upgrade?"|"to document and analyze network traffic requirements on each network segment"
"Which method is used to send a ping message specifying the source address for the ping?"|"Issue the ping command without specifying a destination IP address."
"A network engineer is analyzing reports from a recently performed network baseline. Which situation would depict a possible latency issue?"|"an increase in host-to-host ping response times"
"Which statement is true about Cisco IOS ping indicators?"|"‘U’ may indicate that a router along the path did not contain a route to the destination address and that the ping was unsuccessful."
"A user reports a lack of network connectivity. The technician takes control of the user machine and attempts to ping other computers on the network and these pings fail. The technician pings the default gateway and that also fails. What can be determined for sure by the results of these tests?"|"Nothing can be determined for sure at this point."
"A network technician issues the C:> tracert -6 www.cisco.com command on a Windows PC. What is the purpose of the -6 command option?"|"It forces the trace to use IPv6."
"Why would a network administrator use the tracert utility?"|"to identify where a packet was lost or delayed on a network"
"A ping fails when performed from router R1 to directly connected router R2. The network administrator then proceeds to issue the show cdp neighbors command. Why would the network administrator issue this command if the ping failed between the two routers?"|"The network administrator wants to verify Layer 2 connectivity."
"A network engineer is troubleshooting connectivity issues among interconnected Cisco routers and switches. Which command should the engineer use to find the IP address information, host name, and IOS version of neighboring network devices?"|"show cdp neighbors detail"
"What information about a Cisco router can be verified using the show version command?"|"the value of the configuration register"
"Which command should be used on a Cisco router or switch to allow log messages to be displayed on remotely connected sessions using Telnet or SSH?"|"terminal monitor"
"Which command can an administrator issue on a Cisco router to send debug messages to the vty lines?"|"terminal monitor"
"By following a structured troubleshooting approach, a network administrator identified a network issue after a conversation with the user. What is the next step that the administrator should take?"|"Establish a theory of probable causes."
"Users are complaining that they are unable to browse certain websites on the Internet. An administrator can successfully ping a web server via its IP address, but cannot browse to the domain name of the website. Which troubleshooting tool would be most useful in determining where the problem is?"|"nslookup"
"An employee complains that a Windows PC cannot connect to the Internet. A network technician issues the ipconfig command on the PC and is shown an IP address of 169.254.10.3. Which two conclusions can be drawn? (Choose two.)"|"The PC cannot contact a DHCP server.","The PC is configured to obtain an IP address automatically."
"Which network service automatically assigns IP addresses to devices on the network?"|"DHCP"
"Which command can an administrator execute to determine what interface a router will use to reach remote networks?"|"show ip route"
"When configuring SSH on a router to implement secure network management, a network engineer has issued the login local and transport input ssh line vty commands. What three additional configuration actions have to be performed to complete the SSH configuration? (Choose three.)"|"Generate the asymmetric RSA keys.","Configure the correct IP domain name.","Create a valid local username and password database."
"What is considered the most effective way to mitigate a worm attack?"|"Download security updates from the operating system vendor and patch all vulnerable systems."
"Which statement describes the ping and tracert commands?"|"Tracert shows each hop, while ping shows a destination reply only."
"A technician is to document the current configurations of all network devices in a college, including those in off-site buildings. Which protocol would be best to use to securely access the network devices?"|"SSH"
"An administrator decides to use “WhatAreyouwaiting4” as the password on a newly installed router. Which statement applies to the password choice?"|"It is strong because it uses a passphrase."
"An administrator decides to use “pR3s!d7n&0” as the password on a newly installed router. Which statement applies to the password choice?"|"It is strong because it uses a minimum of 10 numbers, letters and special characters."
"An administrator decides to use “5$7*4#033!” as the password on a newly installed router. Which statement applies to the password choice?"|"It is strong because it contains 10 numbers and special characters."
"An administrator decides to use “pR3s!d7n&0” as the password on a newly installed router. Which statement applies to the password choice?"|"It is strong because it uses a minimum of 10 numbers, letters and special characters."
"An administrator decides to use “12345678!” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak because it uses a series of numbers or letters."
"An administrator decides to use “admin” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak because it is often the default password on new devices."
"An administrator decides to use “Feb121978” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak because it uses easily found personal information."
"An administrator decides to use “password” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak because it is a commonly used password."
"An administrator decides to use “RobErT” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak since it uses easily found personal information."
"An administrator decides to use “Elizabeth” as the password on a newly installed router. Which statement applies to the password choice?"|"It is weak because it uses easily found personal information."
"A network technician is troubleshooting an issue and needs to verify the IP addresses of all interfaces on a router. What is the best command to use to accomplish the task?"|"show ip interface brief"
"Students who are connected to the same switch are having slower than normal response times. The administrator suspects a duplex setting issue. What is the best command to use to accomplish the task?"|"show interfaces"
"A user wants to know the IP address of the PC. What is the best command to use to accomplish the task?"|"ipconfig"
"A student wants to save a router configuration to NVRAM. What is the best command to use to accomplish the task?"|"copy running-config startup-config"
"A support technician needs to know the IP address of the wireless interface on a MAC. What is the best command to use to accomplish the task?"|"ipconfig getifaddr en0"
"A network technician is troubleshooting an issue and needs to verify all of the IPv6 interface addresses on a router. What is the best command to use to accomplish the task?"|"show ipv6 interface"
"A teacher is having difficulties connecting his PC to the classroom network. He needs to verify that a default gateway is configured correctly. What is the best command to use to accomplish the task?"|"ipconfig"
"An administrator is troubleshooting connectivity issues and needs to determine the IP address of a website. What is the best command to use to accomplish the task?"|"nslookup"
"Which tasks can be accomplished by using the command history feature? (Choose two.)"|"Set the command history buffer size.","Recall previously entered commands."
"What is the first action in the boot sequence when a switch is powered on?"|"load a power-on self-test program"
"What must an administrator have in order to reset a lost password on a router?"|"physical access to the router"
"When configuring a switch for SSH access, what other command that is associated with the login local command is required to be entered on the switch?"|"username username secret secret"
"Which command displays information about the auto-MDIX setting for a specific interface?"|"show controllers"
"If one end of an Ethernet connection is configured for full duplex and the other end of the connection is configured for half duplex, where would late collisions be observed?"|"on the half-duplex end of the connection"
"Which command is used to set the BOOT environment variable that defines where to find the IOS image file on a switch?"|"boot system"
"What does a switch use to locate and load the IOS image?"|"BOOT environment variable"
"Which protocol adds security to remote connections?"|"SSH"
"What is a characteristic of an IPv4 loopback interface on a Cisco IOS router?"|"It is a logical interface internal to the router."
"What is the minimum Ethernet frame size that will not be discarded by the receiver as a runt frame?"|"64 bytes"
"After which step of the switch bootup sequence is the boot loader executed?"|"after POST execution"
"Which impact does adding a Layer 2 switch have on a network?"|"an increase in the size of the broadcast domain"
"Which characteristic describes cut-through switching?"|"Frames are forwarded without any error checking."
"What is the significant difference between a hub and a Layer 2 LAN switch?"|"A hub extends a collision domain, and a switch divides collision domains."
"Which statement is correct about Ethernet switch frame forwarding decisions?"|"Frame forwarding decisions are based on MAC address and port mappings in the CAM table."
"How do switch buffers affect network performance?"|"They store frames received, thus preventing premature frame discarding when network congestion occurs."
"Which switch characteristic helps keep traffic local and alleviates network congestion?"|"high port density"
"Which switch component reduces the amount of packet handling time inside the switch?"|"ASIC"
"What information is added to the switch table from incoming frames?"|"source MAC address and incoming port number"
"Which switching method ensures that the incoming frame is error-free before forwarding?"|"store-and-forward"
"Under which two occasions should an administrator disable DTP while managing a local area network? (Choose two.)"|"when connecting a Cisco switch to a non-Cisco switch","on links that should not be trunking"
"Which two characteristics describe the native VLAN? (Choose two.)"|"The native VLAN traffic will be untagged across the trunk link.","The native VLAN provides a common identifier to both ends of a trunk."
"A network contains multiple VLANs spanning multiple switches. What happens when a device in VLAN 20 sends a broadcast Ethernet frame?"|"Only devices in VLAN 20 see the frame."
"What happens to switch ports after the VLAN to which they are assigned is deleted?"|"The ports stop communicating with the attached devices."
"Port Fa0/11 on a switch is assigned to VLAN 30. If the command no switchport access vlan 30 is entered on the Fa0/11 interface, what will happen?"|"Port Fa0/11 will be returned to VLAN 1."
"Which command displays the encapsulation type, the voice VLAN ID, and the access mode VLAN for the Fa0/1 interface?"|"show interfaces Fa0/1 switchport"
"Which four steps are needed to configure a voice VLAN on a switch port? (Choose four)."|"Assign the voice VLAN to the switch port.","Ensure that voice traffic is trusted and tagged with a CoS priority value.","Add a voice VLAN.","Configure the switch port in access mode."
"A high school uses VLAN15 for the laboratory network and VLAN30 for the faculty network. What is required to enable communication between these two VLANs while using the router-on-a-stick approach?"|"A switch with a port that is configured as a trunk is needed when connecting to the router."
"When routing a large number of VLANs, what are two disadvantages of using the router-on-a-stick inter-VLAN routing method rather than the multilayer switch inter-VLAN routing method? (Choose two.)"|"A dedicated router is required.","Multiple subinterfaces may impact the traffic flow speed."
"What is a characteristic of a routed port on a Layer 3 switch?"|"It is not assigned to a VLAN."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# mdix auto command?"|"It automatically adjusts the port to allow device connections to use either a straight-through or a crossover cable."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# ip address 172.18.33.88 255.255.255.0 command?"|"It applies an IPv4 address to the virtual interface."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw# configure terminal command?"|"It enters the global configuration mode."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw# configure terminal command?"|"It enters the global configuration mode."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# shutdown command?"|"It disables a virtual or physical switch interface."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# shutdown command?"|"It disables a virtual or physical switch interface."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# ipv6 address 2001:db8:a2b4:88::1/64 command?"|"It applies an IPv6 address to the virtual interface."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# exit command?"|"It returns to global configuration mode."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw> enable command?"|"It enters privileged mode."
"A technician is configuring a new Cisco 2960 switch. What is the effect of issuing the BranchSw(config-if)# duplex full command?"|"It allows data to flow in both directions at the same time on the interface."
"What type of VLAN should not carry voice and network management traffic?"|"data VLAN"
"What type of VLAN should not carry voice and network management traffic?"|"data VLAN"
"What type of VLAN is designed to reserve bandwidth to ensure IP Phone quality?"|"voice VLAN"
"What type of VLAN is initially the management VLAN?"|"default VLAN"
"What type of VLAN is designed to have a delay of less than 150 ms across the network?"|"voice VLAN"
"What type of VLAN is used to separate the network into groups of users or devices?"|"data VLAN"
"What type of VLAN is configured specifically for network traffic such as SSH, Telnet, HTTPS, HHTP, and SNMP?"|"management VLAN"
"What type of VLAN is configured specifically for network traffic such as SSH, Telnet, HTTPS, HHTP, and SNMP?"|"management VLAN"
"What type of VLAN supports untagged traffic?"|"native VLAN"
"What type of VLAN supports untagged traffic?"|"native VLAN"
"Which solution would help a college alleviate network congestion due to collisions?"|"a high port density switch"
"Which two statements are correct with respect to SVI inter-VLAN routing? (Choose two.)"|"Switching packets is faster with SVI.","There is no need for a connection to a router."
"Which type of VLAN is used to designate which traffic is untagged when crossing a trunk port?"|"native"
"A network administrator issues the show vlan brief command while troubleshooting a user support ticket. What output will be displayed?"|"the VLAN assignment and membership for all switch ports"
"What additional information is contained in the 12-bit extended system ID of a BPDU?"|"VLAN ID"
"During the implementation of Spanning Tree Protocol, all switches are rebooted by the network administrator. What is the first step of the spanning-tree election process?"|"All the switches send out BPDUs advertising themselves as the root bridge."
"Which STP port role is adopted by a switch port if there is no other port with a lower cost to the root bridge?"|"root port"
"Which two concepts relate to a switch port that is intended to have only end devices attached and intended never to be used to connect to another switch? (Choose two.)"|"edge port","PortFast"
"Which three components are combined to form a bridge ID?"|"extended system ID","bridge priority","MAC address"
